,CSD,BOROUGH,SCHOOL CODE,SCHOOL NAME,GRADE ,PROGRAM TYPE,CORE SUBJECT (MS CORE and 9-12 ONLY),CORE COURSE (MS CORE and 9-12 ONLY),SERVICE CATEGORY(K-9* ONLY),NUMBER OF STUDENTS / SEATS FILLED,NUMBER OF SECTIONS,AVERAGE CLASS SIZE,SIZE OF SMALLEST CLASS,SIZE OF LARGEST CLASS,DATA SOURCE,SCHOOLWIDE PUPIL-TEACHER RATIO,padded_csd
21724,25,Q,Q425,John Bowne High School,09-12,SPEC ED,ENGLISH,English 10,-,21.0,2.0,10.5,10.0,11.0,STARS,,25
21725,25,Q,Q425,John Bowne High School,09-12,SPEC ED,ENGLISH,English 11,-,27.0,2.0,13.5,13.0,14.0,STARS,,25
21726,25,Q,Q425,John Bowne High School,09-12,SPEC ED,ENGLISH,Other English,-,14.0,1.0,14.0,14.0,14.0,STARS,,25
21727,25,Q,Q425,John Bowne High School,09-12,SPEC ED,MATH,Integrated Algebra,-,78.0,6.0,13.0,10.0,16.0,STARS,,25
21728,25,Q,Q425,John Bowne High School,09-12,SPEC ED,MATH,Geometry,-,50.0,4.0,12.5,11.0,15.0,STARS,,25
21729,25,Q,Q425,John Bowne High School,09-12,SPEC ED,SCIENCE,Earth Science,-,110.0,8.0,13.8,12.0,15.0,STARS,,25
21730,25,Q,Q425,John Bowne High School,09-12,SPEC ED,SCIENCE,Living Environment,-,111.0,9.0,12.3,10.0,15.0,STARS,,25
21731,25,Q,Q425,John Bowne High School,09-12,SPEC ED,SCIENCE,Other Science,-,16.0,1.0,16.0,16.0,16.0,STARS,,25
21732,25,Q,Q425,John Bowne High School,09-12,SPEC ED,SOCIAL STUDIES,Global History & Geography,-,84.0,6.0,14.0,10.0,16.0,STARS,,25
21733,25,Q,Q425,John Bowne High School,09-12,SPEC ED,SOCIAL STUDIES,US History & Government,-,40.0,3.0,13.3,10.0,15.0,STARS,,25
21734,25,Q,Q425,John Bowne High School,09-12,SPEC ED,SOCIAL STUDIES,Participation in Government,-,22.0,2.0,11.0,10.0,12.0,STARS,,25
21735,25,Q,Q425,John Bowne High School,,,,,,,,,,,,18.8,25
21736,25,Q,Q460,Flushing High School,09-12,GEN ED,ENGLISH,English 9,-,597.0,20.0,29.9,20.0,35.0,STARS,,25
